From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
249;4121;sea;1284;-1;-1;-1;-1;Ayrshire-Ulster
2803;502;sea;1522;-1;-1;-1;-1;Orinoco Delta-Trinidad
500;499;sea;1522;-1;-1;-1;-1;St Vincent-St Lucia
499;498;sea;1523;-1;-1;-1;-1;St Lucia-Martinique
498;497;sea;1523;-1;-1;-1;-1;Martinique-Dominica
496;495;sea;1523;-1;-1;-1;-1;Guadalupe-Antigua
495;494;sea;1523;-1;-1;-1;-1;Antigua-St Kits
628;2692;sea;1355;-1;-1;-1;-1;Surabaya-Madura
2700;4351;sea;1397;4722;820;4725;818;Panay-Buglas
4353;4355;sea;1402;4763;803;4759;810;Leyte-Caraga
646;647;sea;1401;-1;-1;-1;-1;Ambom-Ceram
2929;2890;sea;1529;2021;838;2022;841;Para-Marajo
748;2890;sea;1529;2050;847;2046;850;Belem-Marajo
911;2587;sea;1661;-1;-1;-1;-1;Belem-Marajo
2954;353;sea;1305;2973;1210;2972;1208;Djerba-Tataouine
431;2999;sea;1334;3693;1091;3689;1089;Mogostan-Hormuz
398;2999;sea;1334;3686;1080;3684;1084;Qawasim-Hormuz
146;3003;sea;1319;3174;1294;3175;1294;Athens - Euboea
3003;164;sea;1319;3190;1287;3191;1286;Euboea - Cyclades
31;4152;lake;4139;3232;1827;3235;1835;Savolax - Kuusamo
1751;226;sea;1293;-1;-1;-1;-1;Ceuta-Gibraltar
4353;4352;sea;1397;4747;825;4742;823;Leyte-Cebu #TWEAKED
4351;4352;sea;1397;4732;814;4735;812;Buglas-Cebu
4699;4698;sea;1312;-1;-1;-1;-1;Arta-Cephalonia
4745;47;sea;1257;3013;1607;3012;1606;R�gen-Stralsund
2994;48;sea;1257;-1;-1;-1;-1;Wolgast-Kolberg
2728;4846;sea;1408;-1;-1;-1;-1;Tiwi-Woolna
1240;4934;sea;1697;-1;-1;-1;-1;Hawaii-Maui
4934;4935;sea;1697;-1;-1;-1;-1;Maui-Oahu
4935;4936;sea;1697;-1;-1;-1;-1;Oahu-Kauai
4938;4937;sea;1431;-1;-1;-1;-1;Vanua Levu-Lau
4937;1242;sea;1431;-1;-1;-1;-1;Lau-Viti Levu
1242;4938;sea;1431;-1;-1;-1;-1;Vitu Levu-Vanua Levu
631;627;sea;1354;-1;-1;-1;-1;Bali-Blambangan
654;2699;sea;1397;-1;-1;-1;-1;Samar-Bikol
4989;4991;sea;1400;-1;-1;-1;-1;Morotai-Jailolo
650;4992;sea;1400;-1;-1;-1;-1;Tidore-Bacan
1245;2718;sea;1408;-1;-1;-1;-1;Manokwari-Kapaur/Fak-Fak
631;2693;sea;1355;4611;517;4618;515;Bali-Lombok
2693;632;sea;1355;-1;-1;-1;-1;Lombok-Sumbawa
4986;633;sea;1355;-1;-1;-1;-1;Bima-Flores
4987;2695;sea;1401;4759;512;4757;516;Adonara-East Timor
2716;4985;sea;1357;4718;575;4715;579;Buton-Poleang
2699;4993;sea;1397;-1;-1;-1;-1;Bikol-Masbate
654;4993;sea;1397;-1;-1;-1;-1;Samar-Masbate
2700;4993;sea;1397;4724;832;4728;838;Panay-Masbate
4350;656;sea;1395;-1;-1;-1;-1;Mindoro-Manila
4356;4350;sea;1395;-1;-1;-1;-1;Taytay-Mindoro
4352;4994;sea;1397;-1;-1;-1;-1;Cebu-Bohol
4353;4994;sea;1397;-1;-1;-1;-1;Leyte-Bohol
597;620;sea;1361;-1;-1;-1;-1;Johor-Siak
659;2677;sea;1361;4435;636;4433;631;Riau-Palembang
2678;622;sea;1361;4446;618;4443;617;Bangka-Palembang
2686;4815;sea;1361;-1;-1;-1;-1;Bintan-Singapore
1236;5005;sea;1405;-1;-1;-1;-1;Rabaul-Kavieng
1248;5155;sea;1619;-1;-1;-1;-1;Maldives-Thiladhunmathi
5033;5148;sea;1415;-1;-1;-1;-1;Karta-Permangk
1340;1341;canal;2100;-1;-1;-1;-1;palk_strait
-1;-1;;-1;-1;-1;-1;-1;-1;
